"Programme";"Acronym";"Project.Partner";"Lead.Partner";"Street";"Postal.code";"Town";"Country";"Website";"Department";"Legal.Status";"Country.code";"NUTS1..or.equivalent.";"NUTS2..or.equivalent.";"NUTS3..or.equivalent.";"location";"Postal.code2";"location2";"osm_id";"osm_type";"name";"housenumber";"street";"postcode";"city";"state";"country.x";"osm_key";"osm_value";"lon.x";"lat.x";"msg";"lon.y";"lat.y";"type";"loctype";"north";"south";"east";"west";"locality";"country.y";"postal_code";"administrative_area_level_1";"SourceGeoCode";"TownLowerCase";"CountrySimplified";"CountryGeoCode";"CountryGeocodeSimplified"
"2000 - 2006 Italy - Switzerland (IT-CH)";"SEMPIONECONOMIA OSSERVATORIO TRASFRONTALIERO MERCATO DEL LAVORO E DELL’ECONOMIA";"Département de l’économie des institutions et de la sécurité (DEIS) par le service Industrie- Commerce- Travail (SICT) – Canton Vallese";"Yes";"Av. Du Midi 7";"1950";"Sitten";"Switzerland";"";"";"";"CH Switzerland / SCHWEIZ/SUISSE/SVIZZERA";"CH0  / SCHWEIZ/SUISSE/SVIZZERA";"CH01  / Région lémanique";"CH012  / Valais";"1950, Sitten, Switzerland";"1950";"Sitten, Switzerland";"27905348";"W";"Switzerland";NA;NA;"1920";"Sta. Ana";"Rizal";"Philippines";"highway";"residential";121,1174769;14,548582;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"sitten";"Switzerland";"Philippines";"Philippines"
"2000 - 2006 Mecklenburg Vorpommern - Poland (DE-PL)";"Grenzüberschreitende Grundwasserbewirtschaftung im Einzugsgebiet der Versorgungsregion Usedom / Swinemünde";"Zweckverband Wasserversorgung und Abwasserbeseitigung";"Yes";"Remschützer Straße 50";"7318";"Saalfeld";"Germany";"http://www.pomerania.net/main.cfm?l=de&rubrik=5&th=15";"";"";"DE Germany / DEUTSCHLAND";"DEG  / THÜRINGEN";"DEG0  / Thüringen";"DEG0I  / Saalfeld-Rudolstadt";"7318, Saalfeld, Germany";"7318";"Saalfeld, Germany";"4561909098";"N";"7318 TIERRA PROMETIDA";NA;"Juana de Lara";NA;"Nueva Germania";"San Pedro";"Paraguay";"amenity";"school";-56,7221394;-23,8787289;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"saalfeld";"Germany";"Paraguay";"Paraguay"
"2000 - 2006 Mecklenburg Vorpommern - Poland (DE-PL)";"Feuerwehr - Bildungsstätte";"Gemeinde Rüdnitz vertreten durch das Amt Panketal";"Yes";"Postfach 1113";"16336";"Zepernick";"Germany";"http://www.pomerania.net/main.cfm?l=de&rubrik=5&th=15";"";"";"DE Germany / DEUTSCHLAND";"DE4  / BRANDENBURG";"DE40  / Brandenburg";"DE405  / Barnim";"16336, Zepernick, Germany";"16336";"Zepernick, Germany";"11878099";"W";"Germania Road";NA;NA;"16836";"Covington Township";"Pennsylvania";"United States of America";"highway";"residential";-78,209969;41,082283;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"zepernick";"Germany";"United States of America";"United States of America"
"2000 - 2006 Spain - Morocco (ES-MA)";"AUPV";"Dirección General d Arquitectura y Vivienda";"Yes";"";"";"Paseo de la Castellana";"Spain";"";"";"";"ES Spain / ESPAÑA";"ES3  / COMUNIDAD DE MADRID";"ES30  / Comunidad de Madrid";"ES300  / Madrid";", Paseo de la Castellana, Spain";"";"Paseo de la Castellana, Spain";"7639870";"R";"Paseo de la Castellana";NA;NA;NA;"El Jardín";"Risaralda";"Colombia";"boundary";"administrative";-75,7216810052691;4,80667275;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"paseo de la castellana";"Spain";"Colombia";"Colombia"
"2000 - 2006 Greece - Cyprus (EL-CY)";"EQUIPPING HELLENIC POLICE";"MINISTRY OF PUBLIC ORDER";"Yes";"P. KANELLOPOULOS 4";"101 77";"Atenas";"Greece";"";"";"";"EL Greece / ΕΛΛΑΔΑ (ELLADA)";"EL3  / ATTIKΗ (ATTIKI)";"EL30  / Aττική (Attiki)";"EL303  / Κεντρικός Τομέας Αθηνών (Kentrikos Tomeas Athinon)";"101 77, Atenas, Greece";"10177";"Atenas, Greece";"247865153";"W";NA;"77";"Greene Street";"10012";"New York City";"New York";"United States of America";"building";"yes";-74,0008446719086;40,72357405;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"atenas";"Greece";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"Blågröna vägen";"Halden kommune";"Yes";"";"1751";"Halden";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO03  / Sør-Østlandet";"NO031  / Østfold";"1751, Halden, Norway";"1751";"Halden, Norway";"35799512";"W";"Norway";NA;NA;"1711";"Parañaque";NA;"Philippines";"highway";"residential";121,031543;14,4855364;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"halden";"Norway";"Philippines";"Philippines"
"2000 - 2006 Sweden - Norway (SE-NO)";"Förprojekt SkolGIS";"Steinkjer Näringsselskap AS";"Yes";"";"7709";"Steinkjer";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO06  / Trøndelag";"NO062  / Nord-Trøndelag";"7709, Steinkjer, Norway";"7709";"Steinkjer, Norway";"15369523";"W";"Norway Street";NA;NA;"77047";"Houston";"Texas";"United States of America";"highway";"residential";-95,415294;29,600982;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"steinkjer";"Norway";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"Förprojektering av Jojkprojekt";"Nord Tröndelag Fylkeskommune v/Musik i Nord Tröndelag";"Yes";"";"7735";"STEINKJER";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO06  / Trøndelag";"NO062  / Nord-Trøndelag";"7735, STEINKJER, Norway";"7735";"STEINKJER, Norway";"195956402";"W";"Norway Spruce Lane";NA;NA;"77375";"Hufsmith";"Texas";"United States of America";"highway";"residential";-95,5768168;30,1022636;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"steinkjer";"Norway";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"Förstudie Gränslös Riskanalys Sverige-Norge";"Länsstyrelsen i Västra Götalands län";"Yes";"";"403 40";"GÖTEBORG";"Sweden";"";"";"";"SE Sweden / SVERIGE";"SE2  / SÖDRA SVERIGE";"SE23  / Västsverige";"SE232  / Västra Götalands län";"403 40, GÖTEBORG, Sweden";"40340";"GÖTEBORG, Sweden";"93718024";"W";"Sweden";NA;NA;"4026";"Malitlit";"Laguna";"Philippines";"highway";"residential";121,100809;14,2664801;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"göteborg";"Sweden";"Philippines";"Philippines"
"2000 - 2006 Sweden - Norway (SE-NO)";"Fritidskart";"Dals-Eds kommun";"Yes";"";"668 21";"ED";"Sweden";"";"";"";"SE Sweden / SVERIGE";"SE3  / NORRA SVERIGE";"SE31  / Norra Mellansverige";"SE311  / Värmlands län";"668 21, ED, Sweden";"66821";"ED, Sweden";"5973747787";"N";"Escuela De Educación Primaria 21 Domingo Faustino Sarmiento";"634";"7";"6605";"Navarro";"Buenos Aires";"Argentina";"amenity";"school";-59,2816512;-34,9999468;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"ed";"Sweden";"Argentina";"Argentina"
"2000 - 2006 Sweden - Norway (SE-NO)";"Gränslös bygdeutveckling";"Fylkesmannen i Østfold, Lantbruksavd";"Yes";"";"1502";"Moss";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO03  / Sør-Østlandet";"NO031  / Østfold";"1502, Moss, Norway";"1502";"Moss, Norway";"14887644";"W";"Norway Drive";NA;NA;"54455";"Mosinee";"Wisconsin";"United States of America";"highway";"residential";-89,72578;44,784046;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"moss";"Norway";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"Gränslös riskanalys 2005-2007";"Länsstyrelsen i Västra Götalands län";"Yes";"";"403 40";"GÖTEBORG";"Sweden";"";"";"";"SE Sweden / SVERIGE";"SE2  / SÖDRA SVERIGE";"SE23  / Västsverige";"SE232  / Västra Götalands län";"403 40, GÖTEBORG, Sweden";"40340";"GÖTEBORG, Sweden";"93718024";"W";"Sweden";NA;NA;"4026";"Malitlit";"Laguna";"Philippines";"highway";"residential";121,100809;14,2664801;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"göteborg";"Sweden";"Philippines";"Philippines"
"2000 - 2006 Sweden - Norway (SE-NO)";"Gränslösa upplevelser";"Halden kommune";"Yes";"";"1751";"Halden";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO03  / Sør-Østlandet";"NO031  / Østfold";"1751, Halden, Norway";"1751";"Halden, Norway";"35799512";"W";"Norway";NA;NA;"1711";"Parañaque";NA;"Philippines";"highway";"residential";121,031543;14,4855364;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"halden";"Norway";"Philippines";"Philippines"
"2000 - 2006 Sweden - Norway (SE-NO)";"Grensebroen Arena";"Høgskolen i Østfold";"Yes";"";"1757";"Halden";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO03  / Sør-Østlandet";"NO031  / Østfold";"1757, Halden, Norway";"1757";"Halden, Norway";"12360087";"W";"Norway Maple Court";NA;NA;"17070";"Drexel Hills";"Pennsylvania";"United States of America";"highway";"residential";-76,875094;40,219178;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"halden";"Norway";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"Grenseløs Læring/Gränslöst lärande";"Moss Kommune";"Yes";"";"1501";"MOSS";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO03  / Sør-Østlandet";"NO031  / Østfold";"1501, MOSS, Norway";"1501";"MOSS, Norway";"14887644";"W";"Norway Drive";NA;NA;"54455";"Mosinee";"Wisconsin";"United States of America";"highway";"residential";-89,72578;44,784046;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"moss";"Norway";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"Grenseoverskridende helsesamarbeid";"Askim kommune";"Yes";"";"1802";"Askim";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO03  / Sør-Østlandet";"NO031  / Østfold";"1802, Askim, Norway";"1802";"Askim, Norway";"5056131";"W";"Norway";NA;NA;"1806";"Marikina";NA;"Philippines";"highway";"residential";121,0871891;14,6551686;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"askim";"Norway";"Philippines";"Philippines"
"2000 - 2006 Sweden - Norway (SE-NO)";"Hästkraft 2";"DALSLANDS TRAVSÄLLSKAP";"Yes";"";"662 22";"ÅMÅL";"Sweden";"";"";"";"SE Sweden / SVERIGE";"SE2  / SÖDRA SVERIGE";"SE23  / Västsverige";"SE232  / Västra Götalands län";"662 22, ÅMÅL, Sweden";"66222";"ÅMÅL, Sweden";"3008712066";"N";NA;"22";"Amalia van Solmsstraat";"6661XZ";"Overbetuwe";"Gelderland";"The Netherlands";"place";"house";5,8376507;51,921578;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"åmål";"Sweden";"The Netherlands";"Netherlands"
"2000 - 2006 Sweden - Norway (SE-NO)";"Hästkraft II";"DALSLANDS TRAVSÄLLSKAP";"Yes";"";"662 22";"ÅMÅL";"Sweden";"";"";"";"SE Sweden / SVERIGE";"SE2  / SÖDRA SVERIGE";"SE23  / Västsverige";"SE232  / Västra Götalands län";"662 22, ÅMÅL, Sweden";"66222";"ÅMÅL, Sweden";"3008712066";"N";NA;"22";"Amalia van Solmsstraat";"6661XZ";"Overbetuwe";"Gelderland";"The Netherlands";"place";"house";5,8376507;51,921578;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"åmål";"Sweden";"The Netherlands";"Netherlands"
"2000 - 2006 Sweden - Norway (SE-NO)";"Inlandsoppdrett i Midt-Norge og Jämtland-Slutetapp 3";"Røyrvik kommune";"Yes";"";"7898";"Limingen";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO06  / Trøndelag";"NO062  / Nord-Trøndelag";"7898, Limingen, Norway";"7898";"Limingen, Norway";"20813939";"W";"Norway Street";NA;NA;"78943";"Glidden";"Texas";"United States of America";"highway";"residential";-96,591586;29,698896;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"limingen";"Norway";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"Interregionalt samarbetsprojekt inom kommunal revision";"Nord-Trøndelag fylkeskommune";"Yes";"";"7935";"STEINKJER";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO06  / Trøndelag";"NO062  / Nord-Trøndelag";"7935, STEINKJER, Norway";"7935";"STEINKJER, Norway";"20976410";"W";"Norway Road";NA;NA;"79380";"Whitharral";"Texas";"United States of America";"highway";"residential";-102,383152;33,739931;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"steinkjer";"Norway";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"Kulturbuss utan gränser";"Stiftelsen Gaaltije";"Yes";"";"831 33";"ÖSTERSUND";"Sweden";"";"";"";"SE Sweden / SVERIGE";"SE3  / NORRA SVERIGE";"SE32  / Mellersta Norrland";"SE322  / Jämtlands län";"831 33, ÖSTERSUND, Sweden";"83133";"ÖSTERSUND, Sweden";"358652123";"N";"New Sweden Cemetery";NA;"West 33rd South";"83492";"Idaho Falls";"Idaho";"United States of America";"amenity";"grave_yard";-112,1052502;43,468247;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"östersund";"Sweden";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"Læring i grensenaturen";"Halden kommune";"Yes";"";"1751";"Halden";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO03  / Sør-Østlandet";"NO031  / Østfold";"1751, Halden, Norway";"1751";"Halden, Norway";"35799512";"W";"Norway";NA;NA;"1711";"Parañaque";NA;"Philippines";"highway";"residential";121,031543;14,4855364;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"halden";"Norway";"Philippines";"Philippines"
"2000 - 2006 Sweden - Norway (SE-NO)";"Master in Community Care";"Høgskolen i Østfold";"Yes";"";"1783";"Halden";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO03  / Sør-Østlandet";"NO031  / Østfold";"1783, Halden, Norway";"1783";"Halden, Norway";"12291575";"W";"Norway Lane";NA;NA;"17083";"Cornwall";"Pennsylvania";"United States of America";"highway";"residential";-76,4274142;40,2826364;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"halden";"Norway";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"Master in innovation managment - Pilotprojekt";"Høgskolen i Hedmark";"Yes";"";"2411";"Elverum";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO02  / Hedmark og Oppland";"NO021  / Hedmark";"2411, Elverum, Norway";"2411";"Elverum, Norway";"6047641";"W";"Norway Avenue Northwest";NA;NA;"24017";"Roanoke";"Virginia";"United States of America";"highway";"residential";-79,996751;37,278758;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"elverum";"Norway";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"Master of Community Care 2004-2006";"Högskolan i Östfold";"Yes";"";"1783";"HALDEN";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO03  / Sør-Østlandet";"NO031  / Østfold";"1783, HALDEN, Norway";"1783";"HALDEN, Norway";"12291575";"W";"Norway Lane";NA;NA;"17083";"Cornwall";"Pennsylvania";"United States of America";"highway";"residential";-76,4274142;40,2826364;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"halden";"Norway";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"Master of innovation management";"Høgskolen i Hedmark";"Yes";"";"2411";"Elverum";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO02  / Hedmark og Oppland";"NO021  / Hedmark";"2411, Elverum, Norway";"2411";"Elverum, Norway";"6047641";"W";"Norway Avenue Northwest";NA;NA;"24017";"Roanoke";"Virginia";"United States of America";"highway";"residential";-79,996751;37,278758;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"elverum";"Norway";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"Master of Public Administration II";"Høgskolan i Hedmark";"Yes";"";"2411";"Elverum";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO02  / Hedmark og Oppland";"NO021  / Hedmark";"2411, Elverum, Norway";"2411";"Elverum, Norway";"6047641";"W";"Norway Avenue Northwest";NA;NA;"24017";"Roanoke";"Virginia";"United States of America";"highway";"residential";-79,996751;37,278758;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"elverum";"Norway";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"Nätverk för offentliga ledares kompetensutveckling";"Høgskolen i Hedmark";"Yes";"";"2411";"Elverum";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO02  / Hedmark og Oppland";"NO021  / Hedmark";"2411, Elverum, Norway";"2411";"Elverum, Norway";"6047641";"W";"Norway Avenue Northwest";NA;NA;"24017";"Roanoke";"Virginia";"United States of America";"highway";"residential";-79,996751;37,278758;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"elverum";"Norway";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"Nettverk Grenseland 2004";"Åmåls kommun";"Yes";"";"662 22";"ÅMÅL";"Sweden";"";"";"";"SE Sweden / SVERIGE";"SE2  / SÖDRA SVERIGE";"SE23  / Västsverige";"SE232  / Västra Götalands län";"662 22, ÅMÅL, Sweden";"66222";"ÅMÅL, Sweden";"3008712066";"N";NA;"22";"Amalia van Solmsstraat";"6661XZ";"Overbetuwe";"Gelderland";"The Netherlands";"place";"house";5,8376507;51,921578;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"åmål";"Sweden";"The Netherlands";"Netherlands"
"2000 - 2006 Sweden - Norway (SE-NO)";"Nya Brobyggarna/Nye Brobyggerne";"ABF-NVG";"Yes";"";"453 23";"Lysekil";"Sweden";"";"";"";"SE Sweden / SVERIGE";"SE2  / SÖDRA SVERIGE";"SE23  / Västsverige";"SE232  / Västra Götalands län";"453 23, Lysekil, Sweden";"45323";"Lysekil, Sweden";"48487063";"W";"Jake Sweeney Mazda West";"2301";"Ferguson Road";"45238";"Cincinnati";"Ohio";"United States of America";"shop";"car";-84,601620951111;39,1273636;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"lysekil";"Sweden";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"Orientering i grenseland/Orientering i gränsland";"Halden kommune";"Yes";"";"1751";"Halden";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO03  / Sør-Østlandet";"NO031  / Østfold";"1751, Halden, Norway";"1751";"Halden, Norway";"35799512";"W";"Norway";NA;NA;"1711";"Parañaque";NA;"Philippines";"highway";"residential";121,031543;14,4855364;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"halden";"Norway";"Philippines";"Philippines"
"2000 - 2006 Sweden - Norway (SE-NO)";"På jakt etter nye arbeitsmarkeder/På jakt efter nya arbetsmarknader";"Moss Kommune";"Yes";"";"1501";"MOSS";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO03  / Sør-Østlandet";"NO031  / Østfold";"1501, MOSS, Norway";"1501";"MOSS, Norway";"14887644";"W";"Norway Drive";NA;NA;"54455";"Mosinee";"Wisconsin";"United States of America";"highway";"residential";-89,72578;44,784046;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"moss";"Norway";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"Re-union";"Halden kommune";"Yes";"";"1751";"Halden";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO03  / Sør-Østlandet";"NO031  / Østfold";"1751, Halden, Norway";"1751";"Halden, Norway";"35799512";"W";"Norway";NA;NA;"1711";"Parañaque";NA;"Philippines";"highway";"residential";121,031543;14,4855364;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"halden";"Norway";"Philippines";"Philippines"
"2000 - 2006 Sweden - Norway (SE-NO)";"Samarbete för ett bättre arbetsliv/Samarbeid for et bedre arbeidsliv";"Åmåls kommun";"Yes";"";"662 22";"Åmål";"Sweden";"";"";"";"SE Sweden / SVERIGE";"SE2  / SÖDRA SVERIGE";"SE23  / Västsverige";"SE232  / Västra Götalands län";"662 22, Åmål, Sweden";"66222";"Åmål, Sweden";"3008712066";"N";NA;"22";"Amalia van Solmsstraat";"6661XZ";"Overbetuwe";"Gelderland";"The Netherlands";"place";"house";5,8376507;51,921578;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"åmål";"Sweden";"The Netherlands";"Netherlands"
"2000 - 2006 Sweden - Norway (SE-NO)";"Styreutvikling Fyrbodal-Østfold";"Styreutvikling Østfold";"Yes";"";"1515";"Moss";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO03  / Sør-Østlandet";"NO031  / Østfold";"1515, Moss, Norway";"1515";"Moss, Norway";"14887644";"W";"Norway Drive";NA;NA;"54455";"Mosinee";"Wisconsin";"United States of America";"highway";"residential";-89,72578;44,784046;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"moss";"Norway";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"Tema Trä";"Jämtl läns Institut för Landsbygdsutveckling";"Yes";"";"830 43";"ÅS";"Sweden";"";"";"";"SE Sweden / SVERIGE";"SE3  / NORRA SVERIGE";"SE32  / Mellersta Norrland";"SE322  / Jämtlands län";"830 43, ÅS, Sweden";"83043";"ÅS, Sweden";"2690664927";"N";"SDN 43 Ampenan";NA;"Jalan Guntur Raya";"83115";"BTN Bumi Kodya Asri";"West Nusa Tenggara";"Indonesia";"amenity";"school";116,0878471;-8,6145276;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"ås";"Sweden";"Indonesia";"Indonesia"
"2000 - 2006 Sweden - Norway (SE-NO)";"Tillämpad forskning och näringsutveckling";"Halden kommune";"Yes";"";"1751";"Halden";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO03  / Sør-Østlandet";"NO031  / Østfold";"1751, Halden, Norway";"1751";"Halden, Norway";"35799512";"W";"Norway";NA;NA;"1711";"Parañaque";NA;"Philippines";"highway";"residential";121,031543;14,4855364;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"halden";"Norway";"Philippines";"Philippines"
"2000 - 2006 Sweden - Norway (SE-NO)";"Tråløs kommunikasjon/Trådlös kommunikation";"Halden kommune";"Yes";"";"1751";"Halden";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO03  / Sør-Østlandet";"NO031  / Østfold";"1751, Halden, Norway";"1751";"Halden, Norway";"35799512";"W";"Norway";NA;NA;"1711";"Parañaque";NA;"Philippines";"highway";"residential";121,031543;14,4855364;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"halden";"Norway";"Philippines";"Philippines"
"2000 - 2006 Sweden - Norway (SE-NO)";"Tverrvitenskaplig vidareutdanning i flerkulturalitet";"Høgskolen i Hedmark";"Yes";"";"2411";"Elverum";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO02  / Hedmark og Oppland";"NO021  / Hedmark";"2411, Elverum, Norway";"2411";"Elverum, Norway";"6047641";"W";"Norway Avenue Northwest";NA;NA;"24017";"Roanoke";"Virginia";"United States of America";"highway";"residential";-79,996751;37,278758;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"elverum";"Norway";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"UNISKA";"Høgskolen i Hedmark";"Yes";"";"2411";"Elverum";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO02  / Hedmark og Oppland";"NO021  / Hedmark";"2411, Elverum, Norway";"2411";"Elverum, Norway";"6047641";"W";"Norway Avenue Northwest";NA;NA;"24017";"Roanoke";"Virginia";"United States of America";"highway";"residential";-79,996751;37,278758;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"elverum";"Norway";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"UniTon";"Moss Kommune";"Yes";"";"1501";"MOSS";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO03  / Sør-Østlandet";"NO031  / Østfold";"1501, MOSS, Norway";"1501";"MOSS, Norway";"14887644";"W";"Norway Drive";NA;NA;"54455";"Mosinee";"Wisconsin";"United States of America";"highway";"residential";-89,72578;44,784046;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"moss";"Norway";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"Utbildning för tillväxt 1";"Nord-Trøndelag fylkeskommune";"Yes";"";"7935";"STEINKJER";"Norway";"";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO06  / Trøndelag";"NO062  / Nord-Trøndelag";"7935, STEINKJER, Norway";"7935";"STEINKJER, Norway";"20976410";"W";"Norway Road";NA;NA;"79380";"Whitharral";"Texas";"United States of America";"highway";"residential";-102,383152;33,739931;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"steinkjer";"Norway";"United States of America";"United States of America"
"2000 - 2006 Sweden - Norway (SE-NO)";"Utveckling av turistnäringen i gränsregionen - förprojekt";"Grensekomiteen Värmland – Östfold and Grensekomiteen Värmlan-Östfold";"Yes";"";"67200";"ÅRJÄNG";"Sweden";"";"";"";"SE Sweden / SVERIGE";"SE3  / NORRA SVERIGE";"SE31  / Norra Mellansverige";"SE311  / Värmlands län";"67200, ÅRJÄNG, Sweden";"67200";"ÅRJÄNG, Sweden";"2340686510";"N";"Consulate of Sweden";"3";"Niittykatu";"67100";"Kokkola";"Northern Finland";"Finland";"amenity";"embassy";23,103792;63,837005;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"årjäng";"Sweden";"Finland";"Finland"
